track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Pale,4jEGjl1Wj3iSYwDo36cfYX,Life On Venus,72cBWuYjXkWxEXqZcoH5kE,Encounters,0,125445,False,"['shoegaze', 'dream pop', 'slowcore']"
i was all over her,7svpAkwc6xaSxlbZ7V7JiS,salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,melanchole,3,161462,False,"['slowcore', 'lo-fi indie']"
The Hours,3bATRbSvB9RLyFmSAyBmVD,Beach House,56ZTgzPBDge0OvCGgMO3OY,Bloom,0,251720,False,['dream pop']
Days,6113aOfHIC0vbZVDZ6PpRV,The Drums,0p5axeJsbtTCXBrRVoKjwu,Portamento,0,269081,False,['indie']
Do It Every Time,7MZCwFGKIoCI00xmCrnRCX,Ringo Deathstarr,3sWLSYm3MFYosc4AZhwajg,Colour Trip,15,158160,False,"['shoegaze', 'dream pop', 'slowcore', 'noise rock']"
Here's Where The Story Ends,4SPi5Pl7aAtauFsH9Lk5LB,The Sundays,4nlqDmbzFzbNITaqjJv7D7,"Reading, Writing & Arithmetic",1,234906,False,"['dream pop', 'jangle pop']"
Tuesday,5OuRT9nu8P5GHkoF7MiOiZ,Cole Anyway,6ctBrunhwPNeeuqu8KG7Bd,Tuesday,8,134767,False,"['dream pop', 'neo-psychedelic', 'shoegaze']"
Giant Man,7DwTXozAa7reiJ7KVcSM4N,Teethe,3K2gErmF9xLdo6dqOj1VbI,Teethe,32,193000,False,"['slowcore', 'shoegaze']"
The Past Tense,3n8AnbWYvnpRSoRHGmpBv3,infinite bisous,7w5cbnOLouZ5bGFvwIF5Ff,W/ Love,33,213958,False,[]
Jet Lag,4MzxTLiP3trlFUpL1PAu5S,Colatura,281DMYRccJJg8BXz1TIZF5,And Then I'll Be Happy,19,191373,True,"['dream pop', 'shoegaze']"
Hey Moon,0MpsyFvt1KaxNYBYw2aanq,John Maus,4R073T3AVJKqAsbzLmLW9u,We Must Become the Pitiless Censors of Ourselves,45,248706,False,"['cold wave', 'darkwave', 'baroque pop']"
Shivers,43OyGApGeirDOLmSD9aiy2,"The Macrobats, Madde",3HV2XYlEjYYuLM73CZCNpY,Shivers,14,289166,False,"['dream pop', 'shoegaze']"
Endlessly,7EzKrIF3T2XqUZfhnHw5CE,Nothing,60mqEPQp1eNjuwt1Z4yL4J,Guilty of Everything,31,253664,False,"['shoegaze', 'dream pop', 'slowcore']"
17,5UVBumEwdUnzvqxrXOYLFA,Youth Lagoon,1Z2KInfSmPOzAIYyiaXeti,The Year of Hibernation,50,236000,False,"['dream pop', 'chillwave']"
Bathroom Mirror,4S50BYwWW4fnmzQmMqATM4,Gaspard Eden,11BISbBI3xYpovdOS1DKBu,Soft Power,10,245666,False,"['dream pop', 'shoegaze']"
Dive,0v8UvAhruTvkA90MR7039n,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,0,265373,False,['dream pop']
Always Forever,2enPRFda84VE2wtI8c86Uf,Cults,3Oim8XBPbznAa8Jj8QzNc8,Static,78,223746,False,[]
Altogether,1I3f8tsoYbIPEgQ1TPvJPb,Slowdive,72X6FHxaShda0XeQw3vbeF,Souvlaki,47,221133,False,"['shoegaze', 'dream pop', 'slowcore']"
Hold You in the Warm,4I9Z0ey3dKuNRlap1AKHnn,Soft Blue Shimmer,5ZclZsMoBdRY9MJw6l47Fx,Heaven Inches Away,16,306000,False,"['shoegaze', 'dream pop']"
Nowhere Near,6zqfL2Io4GGtVTz1Agrow1,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Painful,0,363973,False,"['dream pop', 'slowcore']"
